ghn_district_id,provine_id,name
1662,262,Thành phố Quy Nhơn
1660,259,Thành phố Kon Tum
1655,253,Thành phố Bạc Liêu
1654,252,Thành phố Cà Mau
1653,250,Thành phố Vị Thanh
1644,249,Thành phố Bắc Ninh
1643,248,Thành phố Bắc Giang
1642,247,Thành phố Lạng Sơn
1641,246,Thành phố Cao Bằng
1640,245,Thành phố Bắc Kạn
1639,244,Thành phố Thái Nguyên
1632,243,Thành phố Hội An
1631,243,Thành phố Tam Kỳ
1630,242,Thành phố Quảng Ngãi
1627,241,Thành phố Gia Nghĩa
1626,240,Thành phố Tây Ninh
1625,239,Thành phố Đồng Xoài
1621,238,Thị xã Quảng Trị
1620,238,Thành phố Đông Hà
1619,237,Thành phố Đồng Hới
1618,236,Thành phố Hà Tĩnh
1617,235,Thành phố Vinh
1616,234,Thành phố Thanh Hóa
1615,233,Thành phố Ninh Bình
1614,232,Thành phố Phủ Lý
1613,231,Thành phố Nam Định
1604,230,Thành phố Hạ Long
1603,230,Thành phố Móng Cái
1602,229,Thành phố Việt Trì
1601,228,Thành phố Tuyên Quang
1600,227,Thành phố Hà Giang
1599,226,Thành phố Thái Bình
1598,225,Thành phố Hải Dương
1591,224,Quận Hải An
1590,224,Quận Kiến An
1589,224,Quận Hồng Bàng
1588,224,Quận Lê Chân
1587,224,Quận Ngô Quyền
1585,223,Thành phố Huế
1583,201,Huyện Sóc Sơn
1582,201,Huyện Đông Anh
1581,201,Huyện Mê Linh
1578,221,Thành phố Vĩnh Yên
1576,220,Quận Thốt Nốt
1575,220,Quận Ô Môn
1574,220,Quận Cái Răng
1573,220,Quận Bình Thủy
1572,220,Quận Ninh Kiều
1570,219,Thành phố Rạch Giá
1568,218,Thành phố Sóc Trăng
1566,217,Thành phố Long Xuyên
1564,216,Thành phố Cao Lãnh
1562,215,Thành phố Vĩnh Long
1560,214,Thành phố Trà Vinh
1558,213,Thành phố Bến Tre
1556,212,Thành phố Mỹ Tho
1554,211,Thành phố Tân An
1552,210,Thành phố Buôn Ma Thuột
1550,209,Thành phố Đà Lạt
1548,208,Thành phố Nha Trang
1546,207,Thành phố Pleiku
1544,206,Thành phố Vũng Tàu
1542,201,Quận Hà Đông
1541,205,Thành phố Thuận An
1540,205,Thành phố Dĩ An
1538,205,Thành phố Thủ Dầu Một
1536,204,Thành phố Biên Hòa
1534,202,Huyện Nhà Bè
1533,202,Huyện Bình Chánh
1531,203,Quận Cẩm Lệ
1530,203,Quận Liên Chiểu
1529,203,Quận Ngũ Hành Sơn
1528,203,Quận Sơn Trà
1527,203,Quận Thanh Khê
1526,203,Quận Hải Châu
1493,201,Quận Thanh Xuân
1492,201,Quận Tây Hồ
1491,201,Quận Long Biên
1490,201,Quận Hoàng Mai
1489,201,Quận Hoàn Kiếm
1488,201,Quận Hai Bà Trưng
1486,201,Quận Đống Đa
1485,201,Quận Cầu Giấy
1484,201,Quận Ba Đình
1482,201,Quận Bắc Từ Liêm
1463,202,Quận Thủ Đức
1462,202,Quận Bình Thạnh
1461,202,Quận Gò Vấp
1460,202,Huyện Củ Chi
1459,202,Huyện Hóc Môn
1458,202,Quận Bình Tân
1457,202,Quận Phú Nhuận
1456,202,Quận Tân Phú
1455,202,Quận Tân Bình
1454,202,Quận 12
1453,202,Quận 11
1452,202,Quận 10
1451,202,Quận 9
1450,202,Quận 8
1449,202,Quận 7
1448,202,Quận 6
1447,202,Quận 5
1446,202,Quận 4
1444,202,Quận 3
1443,202,Quận 2
1442,202,Quận 1
